ray count,thread count,environment,OpenMP,StdThread,Single-Threaded,OpenMP_SpeedUp,StdThread_SpeedUp
3600,2,mac,0.35077227722772275,0.5870396039603961,0.6902673267326732,1.9678502879078694,1.1758445632558059
3600,2,pace,0.76081,0.52696,0.95608,1.2566606642920046,1.8143312585395477
3600,4,mac,0.3324158415841584,0.5033168316831683,0.6902673267326732,2.0765175433371064,1.371437002065506
3600,4,pace,0.9333100000000001,0.75261,0.95608,1.024397038497391,1.2703525066103294
3600,8,mac,0.4483762376237624,0.7620594059405941,0.6902673267326732,1.539482400741951,0.9057920174618023
3600,8,pace,0.44958,0.56333,0.95608,2.126607055473998,1.6971934745176007
3600,16,mac,0.6744851485148515,0.8549702970297031,0.6902673267326732,1.023398852076391,0.8073582545858808
3600,16,pace,0.52239,0.67241,0.95608,1.8302034878156166,1.421870584910992
3600,32,pace,0.64949,1.4180000000000001,0.95608,1.4720472986497097,0.6742454160789845
10800,2,mac,1.2527920792079208,1.3532574257425742,1.6602772277227724,1.3252615939050991,1.226874647897629
10800,2,pace,1.5220000000000002,1.6432900000000001,2.5615699999999997,1.6830289093298287,1.5588058102952
10800,4,mac,0.7970297029702971,1.0953762376237626,1.6602772277227724,2.083080745341615,1.5157141178491045
10800,4,pace,2.2278700000000002,1.05732,2.5615699999999997,1.1497843231427325,2.4227007906783182
10800,8,mac,0.943940594059406,1.0953366336633663,1.6602772277227724,1.75887893599614,1.5157689213497367
10800,8,pace,1.62121,0.9178700000000001,2.5615699999999997,1.580035899112391,2.7907764716136265
10800,16,mac,0.7282178217821782,1.139910891089109,1.6602772277227724,2.2799184228416047,1.4564973812439743
10800,16,pace,0.98211,1.56048,2.5615699999999997,2.6082312571911492,1.6415269660617242
10800,32,pace,1.1856499999999999,1.66285,2.5615699999999997,2.1604773752793824,1.5404696755570255
36000,2,mac,2.170861386138614,2.231128712871287,3.218772277227723,1.4827166293436471,1.4426654359556947
36000,2,pace,4.55537,5.4815499999999995,11.90892,2.6142596539907847,2.1725460864171633
36000,4,mac,2.0529306930693068,1.6619306930693067,3.218772277227723,1.5678913506891865,1.936766852342796
36000,4,pace,5.25789,4.66685,11.90892,2.2649618002658864,2.5518111788465454
36000,8,mac,1.8718316831683168,1.7472970297029704,3.218772277227723,1.7195842479701675,1.842143735444279
36000,8,pace,3.6944299999999997,3.9364800000000004,11.90892,3.2234796707475852,3.025271308377027
36000,16,mac,1.5507326732673268,1.9084851485148515,3.218772277227723,2.075646133415058,1.6865587241967868
36000,16,pace,3.53348,3.9439100000000002,11.90892,3.3703091569783896,3.019571947635722
36000,32,pace,4.1087299999999995,4.09803,11.90892,2.898443071216654,2.9060109369623945
108000,2,mac,2.420148514851485,2.406138613861386,4.63991089108911,1.91720089185264,1.928363920664966
108000,2,pace,13.30181,13.44474,29.14866,2.1913303527865757,2.168034487836879
108000,4,mac,1.469108910891089,1.392881188118812,4.63991089108911,3.1583164847014427,3.3311605689467667
108000,4,pace,15.594180000000001,10.539100000000001,29.14866,1.8692012019868949,2.7657636800106267
108000,8,mac,1.0752079207920793,1.088930693069307,4.63991089108911,4.315361523444694,4.26097906930225
108000,8,pace,14.381400000000001,11.88867,29.14866,2.0268304893821183,2.451801589244213
108000,16,mac,0.8474752475247525,1.0559702970297031,4.63991089108911,5.474981015246219,4.393978603508574
108000,16,pace,10.97029,11.626990000000001,29.14866,2.657054644863536,2.5069824606368454
108000,32,pace,11.447830000000002,10.803009999999999,29.14866,2.5462170559835355,2.698198002223455
