ray count,thread count,environment,OpenMP,StdThread,Single-Threaded,OpenMP_SpeedUp,StdThread_SpeedUp
3600,2,mac,3.005910891089109,3.3692871287128714,4.423772277227723,1.4716910904916716,1.3129698088146273
3600,4,mac,2.7083960396039606,2.741118811881188,4.423772277227723,1.6333550236155994,1.613856450896324
3600,8,mac,2.2144059405940593,2.8922871287128715,4.423772277227723,1.997724173392055,1.52950660856289
3600,16,mac,2.7223465346534654,2.5097623762376235,4.423772277227723,1.6249849976541788,1.7626259438391076
10800,2,mac,5.024940594059406,5.480831683168317,8.868633663366337,1.764923086623358,1.6181182302317347
10800,4,mac,3.754049504950495,3.634336633663366,8.868633663366337,2.3624178774603797,2.440234506957839
10800,8,mac,2.7870000000000004,2.6086435643564356,8.868633663366337,3.1821434027148676,3.399710786304479
10800,16,mac,2.5571584158415845,2.516138613861386,8.868633663366337,3.4681596605142615,3.5246999567150676
36000,2,mac,14.168000000000001,14.36640594059406,27.16659405940594,1.9174614666435588,1.8909805397217243
36000,4,mac,7.611128712871287,7.509386138613861,27.16659405940594,3.569325271488857,3.61768506212687
36000,8,mac,4.5896039603960395,4.621069306930693,27.16659405940594,5.9191586668104845,5.878854493409438
36000,16,mac,3.888405940594059,3.7459702970297033,27.16659405940594,6.986563253541247,7.252218225261204
108000,2,mac,42.97006930693069,40.385000000000005,78.73993069306931,1.8324366695952539,1.9497320959036597
108000,4,mac,22.37321782178218,21.73383168316832,78.73993069306931,3.5193833681094127,3.622919871697044
108000,8,mac,11.149,11.3419900990099,78.73993069306931,7.062510601226058,6.942338161619707
108000,16,mac,9.060168316831684,9.23080198019802,78.73993069306931,8.690780120142895,8.530128894757222
